id,buildingName,furigana,adress,access,access_2,access_3,access_4,access_5,installationTime,detailInfo,station,facility,googleMap,imgSlider,imgSlider_2,imgSlider_3,imgDetail,workingDay,workingDay_2,workingDay_3,workingDay_4,lateNightService,lateNightService_2,campaign,keyword,lat,lng,floorMapId,link,imgSlider_4,access_6,access_7,access_8,access_9,access_10,detailInfo_2,imgSlider_5,imgSlider_6,imgSlider_7,prefectures,city,area
5900,西新橋スクエア B2F,ニシシンバシスクエア,東京都港区西新橋1-3-1,都営三田線「内幸町駅」A4b出口直結エントランスホール,　,都営三田線 内幸町駅 A4b出口直結,東京メトロ銀座線 虎ノ門駅より徒歩6分,JR山手線 新橋駅より徒歩6分,"平日土日祝: 7:00 - 21:00
",1人用：2台,内幸町駅・虎ノ門駅・新橋駅,"・24時間連続稼働換気ファン<br />
・エアコン<br />
・WiFi<br />
・スマホスタンド<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d12965.269488807677!2d139.7544269!3d35.6691866!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc435f33b24f32c18!2z6KW_5paw5qmL44K544Kv44Ko44Ki!5e0!3m2!1sja!2sjp!4v1667914097917!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/11/西新橋スクエア_1.jpg,https://telecube.jp/wp/wp-content/uploads/2022/11/西新橋スクエア_2.jpg,https://telecube.jp/wp/wp-content/uploads/2022/11/西新橋スクエア_3.jpg,https://telecube.jp/wp/wp-content/uploads/2022/11/西新橋スクエアフロア図.png,平日,土曜日,日曜日,祝日,朝7時から,夜21時まで,週末価格,"西新橋スクエア, ニシシンバシスクエア,
東京, 港区西新橋,
内幸町駅, 虎ノ門駅, 新橋駅, 
都営三田線, 銀座線, 山手線,
WiFi, スマホスタンド,
GBP",35.66890478967755,139.75472385130823,166,https://telecube.jp/location/nishishinbashisquare/,,,,,,,,,,,,,
5881,ハービスOSAKA オフィスタワー 1F,ハービスオーサカ オフィスタワー,大阪府大阪市北区梅田2丁目5-25,阪神大阪梅田駅 西口から 徒歩すぐ,Osaka Metro 四つ橋線西梅田駅 北改札口から 徒歩すぐ,JR大阪駅 桜橋口から 徒歩2分,JR東西線 北新地駅西改札口から 徒歩4分,Osaka Metro 御堂筋線梅田駅 南改札口から　徒歩5分,平日土日祝: 8:00 - 21:00,1人用：2台,大阪駅・大阪梅田駅・梅田駅・東梅田駅・西梅田駅・北新地駅,"・24時間稼働換気ファン<br />
・WiFi<br />
・Web会議用LED照明<br />
・モニター（HDMI対応）<br />
・スマホスタンド<br />
<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d820.0680158257544!2d135.49253900686114!3d34.69831724492804!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x51c7d95eeb65334a!2z44OP44O844OT44K5T1NBS0Hjgqrjg5XjgqPjgrk!5e0!3m2!1sja!2sjp!4v1667264156115!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/11/ハービスOSAKA2.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/11/ハービスOSAKA1.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/11/ハービスOSAKA3.jpg,https://telecube.jp/wp/wp-content/uploads/2022/11/ハービスOSAKA_フロア図.png,平日,土曜日,日曜日,祝日,夜21時まで,,週末価格,"ハービスOSAKAオフィスタワー,
大阪府, 大阪市北区梅田,
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",34.69842902283539,135.4926116444813,164,https://telecube.jp/location/herbis_osaka/,,,,,,,,,,,,,
5859,パレスサイドビル,パレスサイドビル,東京都千代田区一ツ橋1-1-1,パレスサイドビル東側B1F（証明写真機横）,　,東京メトロ東西線 竹橋駅 直結,東京メトロ半蔵門線、都営地下鉄新宿線・三田線 神保町駅(A8出口)から徒歩5分,,平日土: 7:00 - 21:00,1人用: 1,竹橋駅・神保町駅,"・24時間連続換気ファン<br />
・WiFi<br />
・スマホスタンド<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d12961.736071806965!2d139.7575803!3d35.6909358!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x4bd452e821b5af93!2z44OR44Os44K544K144Kk44OJ44OT44Or!5e0!3m2!1sja!2sjp!4v1667225936960!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/10/パレスサイドビル1.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/パレスサイドビル2.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/パレスサイドビル3.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/パレスサイドビル_フロアマップ.png,平日,土曜日,,,朝7時から,夜21時まで,週末価格,"パレスサイドビル,毎日新聞ビル, 
東京, 千代田区一ツ橋,
竹橋駅, 神保町駅,
東西線, 半蔵門線, 都営新宿線,
WiFi, スマホスタンド,
GBP",35.69089936165447,139.75775459423537,165,https://telecube.jp/location/palaceside_bldg/,,,,,,,,,,,,,
5705,有楽町イトシアオフィスタワー,ユウラクチョウイトシアオフィスタワー,東京都千代田区有楽町二丁目7番1号,1Fエレベーター手前のエントランスロビー 左手柱の横,JR 有楽町駅より徒歩1分,都営地下鉄・東京メトロ 銀座駅・有楽町駅より徒歩2～5分,,,平日土日祝: 8:00 - 21:00,1人用: 1台,銀座駅・有楽町駅,"・24時間連続換気ファン<br />
・WiFi<br />
・スマホスタンド<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d810.2743297553244!2d139.7633757908472!3d35.67460563851071!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b88dcda45c9%3A0x50450b03ccc86305!2z5pyJ5qW955S644Kk44OI44K344Ki44Kq44OV44Kj44K544K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1666748088480!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/10/YuracuchoItocia1.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/10/YuracuchoItocia3.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/YuracuchoItocia2.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/有楽町イトシアオフィスタワーmap.png,平日,土曜日,日曜日,祝日,夜21時まで,,週末価格,"有楽町イトシアオフィスタワー,有楽町駅前ビルディング, 
東京, 千代田区有楽町, 
銀座駅,有楽町駅, 山手線,京浜東北線,有楽町線, 日比谷線,
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",35.67446982273541,139.7638306408996,163,https://telecube.jp/location/yurakuchoitocia/,,,,,,,,,,,,,
5636,パシフィックシティ高松ビル 4F,パシフィックシティタカマツビル,香川県高松市寿町1-1-12,JR高松駅南口 徒歩3分,　,4階エレベーター降りて右へ進み、すぐの通路を右折し最初の部屋（左側）に設置しております。,,,平日 9:00 〜 17:00,1人用: 2台,高松駅,"・24時間稼働換気ファン<br />
・WiFi<br />
<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3294.013100319922!2d134.04635841559383!3d34.3501446805261!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3553eb8620c38acb%3A0x81f3873aa0568d1f!2z44CSNzYwLTAwMjMg6aaZ5bed55yM6auY5p2-5biC5a-_55S677yR5LiB55uu77yR4oiS77yR77ySIOODkeOCt-ODleOCo-ODg-OCr-OCt-ODhuOCo-mrmOadvg!5e0!3m2!1sja!2sjp!4v1665058671992!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_4793.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_4794.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_4782.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/パシフィックシティ高松ビルフロア図.png,平日,,,,,,," パシフィックシティ高松ビル,
四国, 香川県高松市, 
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",34.350151877470594,134.04853502826057,147,https://telecube.jp/location/pacificcitytakamatsu/,,,,,,,,,,,,,
5626,イトーヨーカドー南大沢店 1F,イトーヨーカドーミナミオオサワテン,東京都八王子市南大沢2丁目28-1,1F 公園側入口横スペース,　,京王相模原線 南大沢駅 徒歩1分,,,平日土日祝 10:00 〜 21:00,1人用: 2,南大沢駅,"・24時間連続換気ファン<br />
・WiFi<br />
・スマホスタンド<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d405.44804170739013!2d139.3791769129039!3d35.613318680210256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018e2ba0d5fdaf9%3A0x73aea7e51736d30c!2z44Kk44OI44O844Oo44O844Kr44OJ44O8IOWNl-Wkp-ayouW6lw!5e0!3m2!1sja!2sjp!4v1664956026734!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_3080.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_3081.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/IMG_3084.jpg,https://telecube.jp/wp/wp-content/uploads/2022/10/イトーヨーカドー南大沢店.png,平日,土曜日,日曜日,祝日,夜21時まで,,週末価格,"イトーヨーカドー 南大沢店, IY,
東京, 八王子市南大沢
京王線,南大沢駅
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",35.61346982793976,139.37987099893303,162,https://telecube.jp/location/iyminamiosawa/,,,,,,,,,,,,,
5603,グランフロント大阪 タワーA 9F ファミマ側スカイロビー内,グランフロントオオサカ,大阪府大阪市北区大深町4-20,タワーA 9F ファミマ側スカイロビー内,　,JR西日本 大阪駅 連絡橋口改札　徒歩2分,大阪メトロ 梅田駅 北口改札　徒歩6分,阪急電鉄 大阪梅田駅 2階中央改札口　徒歩5分,平日土日祝 7:00〜21:00,1人用: 4,大阪駅・梅田駅・大阪梅田駅,"・24時間稼働換気ファン<br />
・WiFi<br />
・Web会議用LED照明<br />
・モニター（HDMI対応）<br />
・スマホスタンド<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となります。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d205.00198394892467!2d135.49472434557802!3d34.704379292266275!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e68f07000001%3A0xa684e6b145ca9d5!2z44Kw44Op44Oz44OV44Ot44Oz44OI5aSn6Ziq!5e0!3m2!1sja!2sjp!4v1664802315800!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/10/GrandFrontOsaka1.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/10/GrandFrontOsaka2.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/10/GrandFrontOsaka4.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/10/GrandFrontOsakaフロア図.png,平日,土曜日,日曜日,祝日,朝7時から,夜21時まで,週末価格,"グランフロント大阪, 
大阪府大阪市北区梅田,
大阪駅,梅田駅,大阪梅田駅,北新地駅,大阪環状線, 宝塚線,京都線,阪急線,
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,モニター,LED照明, 
GBP",34.70453860664313,135.49473239220526,161,https://telecube.jp/location/gfosaka/,https://telecube.jp/wp/wp-content/uploads/2022/10/GrandFrontOsaka3.jpeg,,,,,,,,,,,,
5582,大阪梅田ツインタワーズ・サウス B1F / 11F,オオサカウメダツインタワーズサウス,大阪府大阪市北区梅田1丁目13-1,11F: タリーズ前 ,B1F: オフィスエントランスエスカレーター脇,　,JR 大阪駅より徒歩3分,JR 北新地駅より徒歩4分,平日土日祝 7:00〜21:00,1人用 : 2 (11F),大阪駅・梅田駅・大阪梅田駅・西梅田駅・東梅田駅・北新地駅,"・24時間稼働換気ファン<br />
・WiFi<br />
・Web会議用LED照明<br />
・モニター（HDMI対応）<br />
・スマホスタンド<br />
<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.172529313242!2d135.49516721559792!3d34.70082809071826!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e76ecd9df40d%3A0x6ae3d981fd2f660b!2z5aSn6Ziq5qKF55Sw44OE44Kk44Oz44K_44Ov44O844K644O744K144Km44K5!5e0!3m2!1sja!2sjp!4v1663952897757!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/09/IMG_3037.jpg,https://telecube.jp/wp/wp-content/uploads/2022/09/IMG_3035.jpg,https://telecube.jp/wp/wp-content/uploads/2022/09/IMG_3039.jpg,https://telecube.jp/wp/wp-content/uploads/2022/09/大阪梅田ツインタワーズ・サウス_02.png,平日,土曜日,日曜日,祝日,朝7時から,夜21時まで,週末価格,"梅田ツインタワーズ・サウス,
大阪府大阪市北区梅田,
大阪駅,梅田駅,大阪梅田駅,西梅田駅,東梅田駅,北新地駅,大阪環状線, 宝塚線,京都線,
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",34.701014206244615,135.4973976559736,160,https://telecube.jp/location/osakaumedatwintowerssouth/,https://telecube.jp/wp/wp-content/uploads/2022/09/IMG_3040.jpg,大阪メトロ御堂筋線 梅田駅より徒歩1分,大阪メトロ四つ橋線 西梅田駅より徒歩3分,大阪メトロ谷町線 東梅田駅より徒歩2分,阪急 大阪梅田駅より徒歩7分,阪神 大阪梅田駅より徒歩1分,1人用 : 1 (B1F),,,,,,
5538,大阪アメニティパーク 2Fロビー,オオサカアメニティパーク,大阪府大阪市北区天満橋1-8-30,JR 桜ノ宮駅 徒歩5分,JR 大阪天満宮駅 徒歩10分,Osaka Metro 南森町駅 徒歩10分,,,平日土日祝 8:00〜21:00,1人用: 2台,桜ノ宮駅・大阪天満宮駅・南森町駅,"・24時間連続換気ファン<br />
・WiFi<br />
・スマホスタンド<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3280.202739780438!2d135.51526123067913!3d34.70006601785473!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e6d19aa7ed67%3A0x7237764f599c13f2!2zT0FQIOWkp-mYquOCouODoeODi-ODhuOCo-ODkeODvOOCrw!5e0!3m2!1sja!2sjp!4v1662104481101!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/09/OAP1.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/09/OAP2.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/09/OAP3.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/09/OAPフロア図.png,平日,土曜日,日曜日,祝日,朝7時から,,週末価格,"大阪アメニティパーク, OAP, 
大阪府大阪市北区天満橋,
桜ノ宮, 大阪天満宮, 南森町, 大阪帝国ホテル,
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",34.70005456578673,135.52001865525435,159,https://telecube.jp/location/osakaamenitypark/,https://telecube.jp/wp/wp-content/uploads/2022/09/OAP4.jpeg,,,,,,,https://telecube.jp/wp/wp-content/uploads/2022/09/OAP5.jpeg,https://telecube.jp/wp/wp-content/uploads/2022/09/OAP6.jpeg,,,,
5519,安城東栄町国道1号,アンジョウトウエイチョウコクドウ１ゴウ,安城市東栄町3-816-2,名古屋鉄道 新安城駅北口より徒歩8分,ファミリーマート安城東栄町店の隣,コインランドリーkirei 併設施設,,,平日土日祝: 7:00 〜 21:00,1人用：3台,新安城駅,"・24時間稼働換気ファン<br />
・WiFi<br />
・スマホスタンド　<br />
※このブースは、ビルにて空調管理がされているため、エアコンを設置しておりません。<br />
<br />
※WiFiについて<br />
LTE回線を利用したベストエフォートでの提供となり、時間帯によっては十分な速度が出ない可能性がございます。大事な会議や面接でご利用の際には、代替通信手段のご用意をお願いいたします。","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d817.2091540310205!2d137.09007204829672!3d34.985756993521775!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x600499225ba180a9%3A0xbd1b8dd65f5e90c3!2z44OV44Kh44Of44Oq44O844Oe44O844OIIOWuieWfjuadseaghOeUuuW6lw!5e0!3m2!1sja!2sjp!4v1661934743380!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",https://telecube.jp/wp/wp-content/uploads/2022/08/Harumiko4-1.jpg,https://telecube.jp/wp/wp-content/uploads/2022/08/Harumiko2-1.jpg,https://telecube.jp/wp/wp-content/uploads/2022/08/Harumiko3-1.jpg,https://telecube.jp/wp/wp-content/uploads/2022/08/HarumikoMap.png,平日,土曜日,日曜日,祝日,朝7時から,夜21時まで,週末価格,"安城東栄町国道1号
愛知県安城市, 新安城, 
名鉄, 
電源(コンセント / USB),WiFi（ブース内 or 施設内）,スマホスタンド,
GBP",34.98580533893269,137.090332222556,157,https://telecube.jp/location/anjoutouei-r1/,https://telecube.jp/wp/wp-content/uploads/2022/08/Harumiko1-1.jpg,,,,,,,,,,,,
